iataCode,cityName,regionName,regionID
JUH,chizhou,anhui,1000
FUG,fuyang,anhui,1000
HFE,hefei,anhui,1000
TXN,huangshan,anhui,1000
WHA,wuhu,anhui,1000
PEK,beijing,beijing,1001
PKX,beijing,beijing,1001
CKG,chongqing,chongqing,1002
JIQ,zhoubai,chongqing,1002
WXN,wanzhou,chongqing,1002
CQW,wulong,chongqing,1002
WSK,wushan,chongqing,1002
FOC,fuzhou,fuijan,NULL
SQJ,sanming,fuijan,NULL
XMN,xiamen,fuijan,NULL
DNH,dunhuang,gansu,NULL
GXH,xiahe,gansu,NULL
JGN,jiayuguan,gansu,NULL
JIC,jinchang,gansu,NULL
LHW,lanzhou,gansu,NULL
LNL,longnan,gansu,NULL
IQN,qingyang,gansu,NULL
CAN,guangzhou,guangdong,1004
SWA,jieyang,guangdong,1004
MXZ,meizhou,guangdong,1004
SZX,shenzhen,guangdong,1004
ZHA,zhanjiang,guangdong,1004
ZUH,zhuhai,guangdong,1004
BHY,beihai,guangxi,NULL
KWL,guilin,guangxi,NULL
HCJ,hechi,guangxi,NULL
WUZ,wuzhou,guangxi,NULL
YLX,yulin,guangxi,NULL
BFJ,bijie,guizhou,1006
KWE,guiyang,guizhou,1006
KJH,kaili,guizhou,1006
LLB,qiannan,guizhou,1006
HZH,liping,guizhou,1006
LPF,liupanshui,guizhou,1006
WMT,zunyi,guizhou,1006
TEN,tongren,guizhou,1006
ACX,xingyi,guizhou,1006
HAK,haikou,hainan,NULL
BAR,qionghai,hainan,NULL
SYX,sanya,hainan,NULL
CDE,chengde,hebei,1007
HDG,handan,hebei,1007
BPE,qinhuangdao,hebei,1007
SJW,shijiazhuang,hebei,1007
DQA,daqing,heilongjiang,1008
FYJ,fuyuan,heilongjiang,1008
HRB,harbin,heilongjiang,1008
HEK,heihe,heilongjiang,1008
JGD,jiagedaqi,heilongjiang,1008
JSJ,jiansanjiang,heilongjiang,1008
JXA,jixi,heilongjiang,1008
OHE,mohe,heilongjiang,1008
DTU,wudalianchi,heilongjiang,1008
LDS,yichun,heilongjiang,1008
HQQ,anyang,heilongjiang,1008
LYA,luoyang,henan,1009
NNY,nanyang,henan,1009
CGO,zhengzhou,henan,1009
ENH,enshi,hubei,1010
EHU,ezhou,hubei,1010
SHS,shashi,hubei,1010
HPG,shennongjia,hubei,1010
WDS,shiyan,hubei,1010
WUH,wuhan,hubei,1010
XFN,xiangyang,hubei,1010
YIH,yichang,hubei,1010
CGD,changde,hunan,1011
CSX,changsha,hunan,1011
HCZ,chenzhou,hunan,1011
HNY,hengyang,hunan,1011
DXJ,jishou,hunan,1011
WGN,shaoyang,hunan,1011
YYA,yueyang,hunan,1011
DYG,zhangjiajie,hunan,1011
YIE,arxan,inner mongolia,NULL
AXF,bayanhot,inner mongolia,NULL
RHT,badanjilin,inner mongolia,NULL
BAV,baotou,inner mongolia,NULL
RLK,bayannur,inner mongolia,NULL
EJN,ejin,inner mongolia,NULL
ERL,erenhot,inner mongolia,NULL
HLD,hulunbuir,inner mongolia,NULL
HET,hohhot,inner mongolia,NULL
HUO,holingol,inner mongolia,NULL
NZH,manzhouli,inner mongolia,NULL
DSN,ordos,inner mongolia,NULL
TGO,tongliao,inner mongolia,NULL
HLH,ulanhot,inner mongolia,NULL
UCB,ulanqab,inner mongolia,NULL
WUA,wuhai,inner mongolia,NULL
XIL,xilinhot,inner mongolia,NULL
NZL,manzhouli,inner mongolia,NULL
HIA,huai'an,jiangsu,1012
LYG,lianyungang,jiangsu,1012
NKG,nanjing,jiangsu,1012
NTG,nantong,jiangsu,1012
XUZ,xuzhou,jiangsu,1012
YTY,yangzhou,jiangsu,1012
KOW,ganzhou,jiangxi,1013
JDZ,jingdezhen,jiangxi,1013
KHN,nanchang,jiangxi,1013
SQD,shangrao,jiangxi,1013
YIC,yichun,jiangxi,1013
DBC,baicheng,jilin,1014
CGQ,changchun,jilin,1014
NBS,baishan,jilin,1014
YSQ,songyuan,jilin,1014
JIL,jilin,jilin,1014
CNI,changhai,liaoning,1015
