iataCode,cityName,regionName
BHY,Beihai,Guangxi
KWL,Guilin,Guangxi
HCJ,Hechi,Guangxi
WUZ,Wuzhou,Guangxi
YLX,Yulin,Guangxi
BFJ,Bijie,Guizhou
KWE,Guiyang,Guizhou
KJH,Kaili,Guizhou
LLB,Qiannan,Guizhou
HZH,Liping,Guizhou
LPF,Liupanshui,Guizhou
WMT,Zunyi,Guizhou
TEN,Tongren,Guizhou
ACX,Xingyi,Guizhou
HAK,Haikou,Hainan
BAR,Qionghai,Hainan
SYX,Sanya,Hainan
CDE,Chengde,Hebei
HDG,Handan,Hebei
BPE,Qinhuangdao,Hebei
SJW,Shijiazhuang,Hebei
DQA,Daqing,Heilongjiang
FYJ,Fuyuan,Heilongjiang
HRB,Harbin,Heilongjiang
HEK,Heihe,Heilongjiang
JGD,Jiagedaqi,Heilongjiang
JSJ,Jiansanjiang,Heilongjiang
JXA,Jixi,Heilongjiang
OHE,Mohe,Heilongjiang
DTU,Wudalianchi,Heilongjiang
LDS,Yichun,Heilongjiang
HQQ,Anyang,Heilongjiang
LYA,Luoyang,Henan
NNY,Nanyang,Henan
CGO,Zhengzhou,Henan
ENH,Enshi,Hubei
EHU,Ezhou,Hubei
SHS,Shashi,Hubei
HPG,Shennongjia,Hubei
WDS,Shiyan,Hubei
WUH,Wuhan,Hubei
XFN,Xiangyang,Hubei
YIH,Yichang,Hubei
