iataCode,cityName,regionName,regionID
KIX,osaka,osaka,227
NRT,tokyo,tokyo,213
NGO,nagoya,aichi,223
HND,tokyo,tokyo,213
ITM,osaka,osaka,227
AXT,akita,akita,205
AKJ,asahikawa,hokkaido,201
CTS,sapporo,hokkaido,201
FUK,fukuoka,fukuoka,240
HKD,hakodate,hokkaido,201
HIJ,hiroshima,hiroshima,234
KOJ,kagoshima,kagoshima,246
KKJ,kitakyushu,fukuoka,240
KCZ,kochi,kōchi,239
KUH,kushiro,hokkaido,201
KMJ,kumamoto,kumamoto,243
MYJ,matsuyama,ehime,238
KMI,miyazaki,miyazaki,245
NGS,nagasaki,nagasaki,242
OKA,naha,okinawa,247
KIJ,niigata,niigata,215
OIT,oita,ōita,244
SDJ,sendai,miyagi,204
TAK,takamatsu,kagawa,237
OBO,obihiro,hokkaido,201
