from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
beijing,1009,beijing,langfang,1073,langfang,train,beijingnan,langfang,0:21,60.0,103.5,G39,G39,True
beijing,1009,beijing,tianjin,1129,tianjin,train,beijingnan,tianjinnan,0:34,122.0,128.5,G21,G21,True
beijing,1009,beijing,tianjin,1129,tianjin,train,beijingnan,tianjinxi,0:35,117.0,128.5,G393,G393,True
beijing,1009,beijing,tianjin,1129,tianjin,train,beijingnan,tianjin,0:35,120.0,128.5,G217,G217,True
beijing,1009,beijing,cangzhou,1013,cangzhou,train,beijingnan,cangzhouxi,0:51,210.0,168.5,G35,G35,True
beijing,1009,beijing,tangshan,1128,tangshan,train,beijingnan,tangshan,1:04,5.0,181,G237,G237,True
beijing,1009,beijing,dezhou,1026,dezhou,train,beijingnan,dezhoudong,1:13,314.0,218.5,G19,G19,True
beijing,1009,beijing,jinan,1066,jinan,train,beijingnan,jinanxi,1:32,406.0,258.5,G11,G11,True
beijing,1009,beijing,nanjing,1085,nanjing,train,beijingnan,nanjingnan,3:39,1023.0,517.5,G1,G1,True
nanjing,1085,nanjing,nanjing,1085,nanjing,train,nanjingnan,jiangning,0:08,12.0,83,G1481,G1481,True
nanjing,1085,nanjing,zhenjiang,1176,zhenjiang,train,nanjingnan,jurongxi,0:11,26.0,86,G7611,G7611,True
nanjing,1085,nanjing,nanjing,1085,nanjing,train,nanjingnan,lishui,0:15,46.0,95,G7633,G7633,True
nanjing,1085,nanjing,nanjing,1085,nanjing,train,nanjingnan,jiangningxi,0:16,5.0,52.0,G7082/G7083,G7082/G7083,True
nanjing,1085,nanjing,chuzhou,1021,chuzhou,train,nanjingnan,chuzhou,0:18,59.0,98.5,G204,G204,True
nanjing,1085,nanjing,zhenjiang,1176,zhenjiang,train,nanjingnan,zhenjiangnan,0:19,65.0,103.5,G7349,G7349,True
nanjing,1085,nanjing,maanshan,1081,maanshan,train,nanjingnan,maanshandong,0:21,10.0,52.5,G9275/G9278,G9275/G9278,True
