from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
tokyo,213,tokyo,tokyo,213,tokyo,train,Tokyo,Ueno,,,,JPRail 1009,北陸新幹線,True
tokyo,213,tokyo,tokyo,213,tokyo,train,Ueno,Tokyo,,,,JPRail 1009,北陸新幹線,True
tokyo,213,tokyo,saitama,211,saitama,train,Ueno,Ōmiya,,,,JPRail 1009,北陸新幹線,True
saitama,211,saitama,tokyo,213,tokyo,train,Ōmiya,Ueno,,,,JPRail 1009,北陸新幹線,True
saitama,211,saitama,kumagaya,211,saitama,train,Ōmiya,Kumagaya,,,,JPRail 1009,北陸新幹線,True
kumagaya,211,saitama,saitama,211,saitama,train,Kumagaya,Ōmiya,,,,JPRail 1009,北陸新幹線,True
kumagaya,211,saitama,takasaki,210,gunma,train,Kumagaya,Takasaki,,,,JPRail 1009,北陸新幹線,True
takasaki,210,gunma,kumagaya,211,saitama,train,Takasaki,Kumagaya,,,,JPRail 1009,北陸新幹線,True
takasaki,210,gunma,karuizawa,220,nagano,train,Takasaki,Karuizawa,,,,JPRail 1009,北陸新幹線,True
karuizawa,220,nagano,takasaki,210,gunma,train,Karuizawa,Takasaki,,,,JPRail 1009,北陸新幹線,True
karuizawa,220,nagano,saku,220,nagano,train,Karuizawa,Sakudaira,,,,JPRail 1009,北陸新幹線,True
saku,220,nagano,karuizawa,220,nagano,train,Sakudaira,Karuizawa,,,,JPRail 1009,北陸新幹線,True
saku,220,nagano,ueda,220,nagano,train,Sakudaira,Ueda,,,,JPRail 1009,北陸新幹線,True
ueda,220,nagano,saku,220,nagano,train,Ueda,Sakudaira,,,,JPRail 1009,北陸新幹線,True
ueda,220,nagano,nagano,220,nagano,train,Ueda,Nagano,,,,JPRail 1009,北陸新幹線,True
nagano,220,nagano,ueda,220,nagano,train,Nagano,Ueda,,,,JPRail 1009,北陸新幹線,True
nagano,220,nagano,iiyama,220,nagano,train,Nagano,Iiyama,,,,JPRail 1009,北陸新幹線,True
iiyama,220,nagano,nagano,220,nagano,train,Iiyama,Nagano,,,,JPRail 1009,北陸新幹線,True
iiyama,220,nagano,joetsu,215,niigata,train,Iiyama,Jōetsumyōkō,,,,JPRail 1009,北陸新幹線,True
joetsu,215,niigata,iiyama,220,nagano,train,Jōetsumyōkō,Iiyama,,,,JPRail 1009,北陸新幹線,True
joetsu,215,niigata,itoigawa,215,niigata,train,Jōetsumyōkō,Itoigawa,,,,JPRail 1009,北陸新幹線,True
itoigawa,215,niigata,joetsu,215,niigata,train,Itoigawa,Jōetsumyōkō,,,,JPRail 1009,北陸新幹線,True
itoigawa,215,niigata,toyama,216,toyama,train,Itoigawa,Toyama,,,,JPRail 1009,北陸新幹線,True
toyama,216,toyama,itoigawa,215,niigata,train,Toyama,Itoigawa,,,,JPRail 1009,北陸新幹線,True
toyama,216,toyama,takaoka,216,toyama,train,Toyama,Shin-Takaoka,,,,JPRail 1009,北陸新幹線,True
takaoka,216,toyama,toyama,216,toyama,train,Shin-Takaoka,Toyama,,,,JPRail 1009,北陸新幹線,True
takaoka,216,toyama,kanazawa,217,ishikawa,train,Shin-Takaoka,Kanazawa,,,,JPRail 1009,北陸新幹線,True
kanazawa,217,ishikawa,takaoka,216,toyama,train,Kanazawa,Shin-Takaoka,,,,JPRail 1009,北陸新幹線,True
kanazawa,217,ishikawa,komatsu,217,ishikawa,train,Kanazawa,Komatsu,,,,JPRail 1009,北陸新幹線,True
komatsu,217,ishikawa,kanazawa,217,ishikawa,train,Komatsu,Kanazawa,,,,JPRail 1009,北陸新幹線,True
