from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
Tokyo,213,Tokyo,Saitama,211,Saitama,train,Tokyo,Ōmiya,,,,JPRail 1009,北陸新幹線,True
Saitama,211,Saitama,Tokyo,213,Tokyo,train,Ōmiya,Tokyo,,,,JPRail 1009,北陸新幹線,True
Saitama,211,Saitama,Kumagaya,211,Saitama,train,Ōmiya,Kumagaya,,,,JPRail 1009,北陸新幹線,True
Kumagaya,211,Saitama,Saitama,211,Saitama,train,Kumagaya,Ōmiya,,,,JPRail 1009,北陸新幹線,True
Kumagaya,211,Saitama,Takasaki,210,Gunma,train,Kumagaya,Takasaki,,,,JPRail 1009,北陸新幹線,True
Takasaki,210,Gunma,Kumagaya,211,Saitama,train,Takasaki,Kumagaya,,,,JPRail 1009,北陸新幹線,True
Takasaki,210,Gunma,Karuizawa,220,Nagano,train,Takasaki,Karuizawa,,,,JPRail 1009,北陸新幹線,True
Karuizawa,220,Nagano,Takasaki,210,Gunma,train,Karuizawa,Takasaki,,,,JPRail 1009,北陸新幹線,True
Karuizawa,220,Nagano,Saku,220,Nagano,train,Karuizawa,Sakudaira,,,,JPRail 1009,北陸新幹線,True
Saku,220,Nagano,Karuizawa,220,Nagano,train,Sakudaira,Karuizawa,,,,JPRail 1009,北陸新幹線,True
Saku,220,Nagano,Ueda,220,Nagano,train,Sakudaira,Ueda,,,,JPRail 1009,北陸新幹線,True
Ueda,220,Nagano,Saku,220,Nagano,train,Ueda,Sakudaira,,,,JPRail 1009,北陸新幹線,True
Ueda,220,Nagano,Nagano,220,Nagano,train,Ueda,Nagano,,,,JPRail 1009,北陸新幹線,True
Nagano,220,Nagano,Ueda,220,Nagano,train,Nagano,Ueda,,,,JPRail 1009,北陸新幹線,True
Nagano,220,Nagano,Iiyama,220,Nagano,train,Nagano,Iiyama,,,,JPRail 1009,北陸新幹線,True
Iiyama,220,Nagano,Nagano,220,Nagano,train,Iiyama,Nagano,,,,JPRail 1009,北陸新幹線,True
Iiyama,220,Nagano,Joetsu,215,Niigata,train,Iiyama,Jōetsumyōkō,,,,JPRail 1009,北陸新幹線,True
