from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled,from_lat,from_lon,to_lat,to_lon
chizhou,1000.0,anhui,shenzhen,1004.0,guangdong,flight,JUH,SZX,120,,,3736,air china ltd,True,,,,
chizhou,1000.0,anhui,beijing,1001.0,beijing,flight,JUH,PKX,115,,,8245,china eastern airlines,True,,,,
chizhou,1000.0,anhui,guangzhou,1004.0,guangdong,flight,JUH,CAN,125,,,3868,china southern airlines,True,,,,
chizhou,1000.0,anhui,zhoushan,1021.0,zhejiang,flight,JUH,HSN,95,,,5099,tibet airlines,True,,,,
chizhou,1000.0,anhui,chengdu,1019.0,sichuan,flight,JUH,TFU,165,,,5100,tibet airlines,True,,,,
fuyang,1000.0,anhui,dalian,1015.0,liaoning,flight,FUG,DLC,120,,,4271,hainan airlines,True,,,,
fuyang,1000.0,anhui,wenzhou,1021.0,zhejiang,flight,FUG,WNZ,110,,,8069,china eastern airlines,True,,,,
fuyang,1000.0,anhui,guangzhou,1004.0,guangdong,flight,FUG,CAN,140,,,3932,china southern airlines,True,,,,
fuyang,1000.0,anhui,xiamen,1003.0,fujian,flight,FUG,XMN,110,,,7817,guangxi beibu gulf airlines,True,,,,
fuyang,1000.0,anhui,zhoushan,1021.0,zhejiang,flight,FUG,HSN,105,,,3015,okay airways,True,,,,
fuyang,1000.0,anhui,harbin,1008.0,heilongjiang,flight,FUG,HRB,195,,,4245,hainan airlines,True,,,,
fuyang,1000.0,anhui,shanghai,1017.0,shanghai,flight,FUG,PVG,90,,,5692,juneyao airlines,True,,,,
fuyang,1000.0,anhui,shenzhen,1004.0,guangdong,flight,FUG,SZX,150,,,5268,china southern airlines,True,,,,
fuyang,1000.0,anhui,beijing,1001.0,beijing,flight,FUG,PEK,105,,,5643,shandong airlines,True,,,,
fuyang,1000.0,anhui,tianjin,1020.0,tianjin,flight,FUG,TSN,105,,,7818,guangxi beibu gulf airlines,True,,,,
fuyang,1000.0,anhui,kunming,3006.0,yunnan,flight,FUG,KMG,175,,,5693,juneyao airlines,True,,,,
fuyang,1000.0,anhui,chengdu,1019.0,sichuan,flight,FUG,CTU,150,,,5645,shandong airlines,True,,,,
fuyang,1000.0,anhui,chongqing,1002.0,chongqing,flight,FUG,CKG,140,,,3016,okay airways,True,,,,
fuyang,1000.0,anhui,haikou,3001.0,hainan,flight,FUG,HAK,185,,,4218,hainan airlines,True,,,,
fuyang,1000.0,anhui,urumqi,3005.0,xinjiang,flight,FUG,URC,280,,,4227,hainan airlines,True,,,,
hefei,1000.0,anhui,xining,3004.0,qinghai,flight,HFE,XNN,165,,,6471,china eastern airlines,True,,,,
hefei,1000.0,anhui,zhanjiang,1004.0,guangdong,flight,HFE,ZHA,165,,,6409,china eastern airlines,True,,,,
hefei,1000.0,anhui,jinghong,3006.0,yunnan,flight,HFE,JHG,205,,,6153,china eastern airlines,True,,,,
hefei,1000.0,anhui,chongqing,1002.0,chongqing,flight,HFE,CKG,135,,,3633,xiamen airlines,True,,,,
hefei,1000.0,anhui,yantai,1016.0,shandong,flight,HFE,YNT,90,,,9067,china eastern airlines,True,,,,
hefei,1000.0,anhui,beijing,1001.0,beijing,flight,HFE,PEK,120,,,7077,lufthansa,True,,,,
hefei,1000.0,anhui,kunming,3006.0,yunnan,flight,HFE,KMG,175,,,4109,hainan airlines,True,,,,
hefei,1000.0,anhui,jieyang,1004.0,guangdong,flight,HFE,SWA,120,,,9061,china eastern airlines,True,,,,
hefei,1000.0,anhui,guiyang,1006.0,guizhou,flight,HFE,KWE,135,,,5389,beijing capital airlines,True,,,,
hefei,1000.0,anhui,chengdu,1019.0,sichuan,flight,HFE,TFU,145,,,6357,west air (china),True,,,,
hefei,1000.0,anhui,qinhuangdao,1007.0,hebei,flight,HFE,BPE,120,,,1187,9 air co,True,,,,
hefei,1000.0,anhui,taiyuan,1018.0,shanxi,flight,HFE,TYN,90,,,9761,shandong airlines,True,,,,
hefei,1000.0,anhui,harbin,1008.0,heilongjiang,flight,HFE,HRB,195,,,6959,china eastern airlines,True,,,,
hefei,1000.0,anhui,lijiang,3006.0,yunnan,flight,HFE,LJG,195,,,4906,china southern airlines,True,,,,
hefei,1000.0,anhui,shenzhen,1004.0,guangdong,flight,HFE,SZX,150,,,8596,china southern airlines,True,,,,
hefei,1000.0,anhui,yinchuan,3003.0,ningxia,flight,HFE,INC,145,,,8693,spring airlines,True,,,,
hefei,1000.0,anhui,chengdu,1019.0,sichuan,flight,HFE,CTU,150,,,9832,tibet airlines,True,,,,
hefei,1000.0,anhui,xian,1018.0,shanxi,flight,HFE,XIY,120,,,5741,xiamen airlines,True,,,,
hefei,1000.0,anhui,guangzhou,1004.0,guangdong,flight,HFE,CAN,130,,,3814,china southern airlines,True,,,,
hefei,1000.0,anhui,haikou,3001.0,hainan,flight,HFE,HAK,170,,,5806,beijing capital airlines,True,,,,
hefei,1000.0,anhui,osaka,227.0,osaka,flight,HFE,KIX,230,,,5077,china eastern airlines,True,,,,
hefei,1000.0,anhui,hohhot,3002.0,inner mongolia,flight,HFE,HET,135,,,5569,beijing capital airlines,True,,,,
hefei,1000.0,anhui,qionghai,3001.0,hainan,flight,HFE,BAR,180,,,3454,xiamen airlines,True,,,,
hefei,1000.0,anhui,shenyang,1015.0,liaoning,flight,HFE,SHE,145,,,3818,air china ltd,True,,,,
hefei,1000.0,anhui,shijiazhuang,1007.0,hebei,flight,HFE,SJW,105,,,9079,china eastern airlines,True,,,,
hefei,1000.0,anhui,changchun,1014.0,jilin,flight,HFE,CGQ,170,,,7935,air china ltd,True,,,,
hefei,1000.0,anhui,lanzhou,3000.0,gansu,flight,HFE,LHW,140,,,6134,spring airlines,True,,,,
hefei,1000.0,anhui,xiamen,1003.0,fujian,flight,HFE,XMN,115,,,8820,xiamen airlines,True,,,,
hefei,1000.0,anhui,sanya,3001.0,hainan,flight,HFE,SYX,210,,,5183,tibet airlines,True,,,,
hefei,1000.0,anhui,guilin,1005.0,guangxizhuangzuzizhiqu,flight,HFE,KWL,130,,,5697,china eastern airlines,True,,,,
hefei,1000.0,anhui,dalian,1015.0,liaoning,flight,HFE,DLC,105,,,6585,tianjin airlines,True,,,,
hefei,1000.0,anhui,zhuhai,1004.0,guangdong,flight,HFE,ZUH,155,,,6247,china southern airlines,True,,,,
hefei,1000.0,anhui,beijing,1001.0,beijing,flight,HFE,PKX,100,,,3451,xiamen airlines,True,,,,
