from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
beijing,1001,beijing,langfang,1007,hebei,train,beijingnan,langfang,21,60.0,103.5,G39,G39,True
beijing,1001,beijing,tianjin,1020,tianjin,train,beijingnan,tianjinnan,34,122.0,128.5,G21,G21,True
beijing,1001,beijing,tianjin,1020,tianjin,train,beijingnan,tianjinxi,35,117.0,128.5,G393,G393,True
beijing,1001,beijing,tianjin,1020,tianjin,train,beijingnan,tianjin,35,120.0,128.5,G217,G217,True
beijing,1001,beijing,cangzhou,1007,hebei,train,beijingnan,cangzhouxi,51,210.0,168.5,G35,G35,True
beijing,1001,beijing,tangshan,1007,hebei,train,beijingnan,tangshan,64,5.0,181,G237,G237,True
beijing,1001,beijing,dezhou,1016,shandong,train,beijingnan,dezhoudong,73,314.0,218.5,G19,G19,True
beijing,1001,beijing,jinan,1016,shandong,train,beijingnan,jinanxi,92,406.0,258.5,G11,G11,True
beijing,1001,beijing,nanjing,1012,jiangsu,train,beijingnan,nanjingnan,219,1023.0,517.5,G1,G1,True
nanjing,1012,jiangsu,nanjing,1012,jiangsu,train,nanjingnan,jiangning,8,12.0,83,G1481,G1481,True
nanjing,1012,jiangsu,zhenjiang,1012,jiangsu,train,nanjingnan,jurongxi,11,26.0,86,G7611,G7611,True
nanjing,1012,jiangsu,nanjing,1012,jiangsu,train,nanjingnan,lishui,15,46.0,95,G7633,G7633,True
nanjing,1012,jiangsu,nanjing,1012,jiangsu,train,nanjingnan,jiangningxi,16,5.0,52.0,G7082/G7083,G7082/G7083,True
nanjing,1012,jiangsu,chuzhou,1000,anhui,train,nanjingnan,chuzhou,18,59.0,98.5,G204,G204,True
nanjing,1012,jiangsu,zhenjiang,1012,jiangsu,train,nanjingnan,zhenjiangnan,19,65.0,103.5,G7349,G7349,True
nanjing,1012,jiangsu,maanshan,1000,anhui,train,nanjingnan,maanshandong,21,5.0,51.0,G9282/G9283,G9282/G9283,True
nanjing,1012,jiangsu,chuzhou,1000,anhui,train,nanjingnan,quanjiao,21,56.0,93.5,G579,G579,True
nanjing,1012,jiangsu,changzhou,1012,jiangsu,train,nanjingnan,wawushan,21,68.0,105,G7689,G7689,True
nanjing,1012,jiangsu,zhenjiang,1012,jiangsu,train,nanjingnan,danyangbei,25,97.0,118.5,G7197,G7197,True
nanjing,1012,jiangsu,zhenjiang,1012,jiangsu,train,nanjingnan,zhenjiang,26,74.0,108.5,G7043,G7043,True
nanjing,1012,jiangsu,changzhou,1012,jiangsu,train,nanjingnan,liyang,26,98.0,119,G1483,G1483,True
nanjing,1012,jiangsu,chuzhou,1000,anhui,train,nanjingnan,dingyuan,33,121.0,92.0,G112,G112,True
nanjing,1012,jiangsu,wuxi,1012,jiangsu,train,nanjingnan,yixing,33,129.0,133,G1493,G1493,True
nanjing,1012,jiangsu,changzhou,1012,jiangsu,train,nanjingnan,changzhoubei,34,130.0,10.0,G113,G113,True
nanjing,1012,jiangsu,zhenjiang,1012,jiangsu,train,nanjingnan,danyang,34,103.0,118.5,G7587,G7587,True
nanjing,1012,jiangsu,huzhou,1021,zhejiang,train,nanjingnan,changxing,40,5.0,150,G2335,G2335,True
nanjing,1012,jiangsu,bangbu,1000,anhui,train,nanjingnan,bangbunan,41,175.0,153.5,G202,G202,True
nanjing,1012,jiangsu,wuxi,1012,jiangsu,train,nanjingnan,wuxidong,46,187.0,107.0,G103,G103,True
nanjing,1012,jiangsu,huzhou,1021,zhejiang,train,nanjingnan,huzhou,50,185.0,106.0,G31,G31,True
nanjing,1012,jiangsu,suzhou,1012,jiangsu,train,nanjingnan,suzhoubei,51,214.0,20.0,G109,G109,True
