from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled,from_lat,from_lon,to_lat,to_lon
tokyo,213,tokyo,tokyo,213,tokyo,train,Tokyo,Ueno,5,3.7356015703834844,,JPRail 1009,北陸新幹線,True,35.681391,139.766103,35.71379,139.777043
tokyo,213,tokyo,tokyo,213,tokyo,train,Ueno,Tokyo,5,3.7356015703834844,,JPRail 1009,北陸新幹線,True,35.71379,139.777043,35.681391,139.766103
tokyo,213,tokyo,saitama,211,saitama,train,Ueno,Ōmiya,16,25.47972506938497,,JPRail 1009,北陸新幹線,True,35.71379,139.777043,35.906439,139.62405
saitama,211,saitama,tokyo,213,tokyo,train,Ōmiya,Ueno,16,25.47972506938497,,JPRail 1009,北陸新幹線,True,35.906439,139.62405,35.71379,139.777043
saitama,211,saitama,kumagaya,211,saitama,train,Ōmiya,Kumagaya,21,33.4239827412364,,JPRail 1009,北陸新幹線,True,35.906439,139.62405,36.139627,139.389528
kumagaya,211,saitama,saitama,211,saitama,train,Kumagaya,Ōmiya,21,33.4239827412364,,JPRail 1009,北陸新幹線,True,36.139627,139.389528,35.906439,139.62405
kumagaya,211,saitama,takasaki,210,gunma,train,Kumagaya,Takasaki,25,39.45639085910435,,JPRail 1009,北陸新幹線,True,36.139627,139.389528,36.322239,139.012354
takasaki,210,gunma,kumagaya,211,saitama,train,Takasaki,Kumagaya,25,39.45639085910435,,JPRail 1009,北陸新幹線,True,36.322239,139.012354,36.139627,139.389528
takasaki,210,gunma,karuizawa,220,nagano,train,Takasaki,Karuizawa,22,33.871803724035864,,JPRail 1009,北陸新幹線,True,36.322239,139.012354,36.342889,138.635096
karuizawa,220,nagano,takasaki,210,gunma,train,Karuizawa,Takasaki,22,33.871803724035864,,JPRail 1009,北陸新幹線,True,36.342889,138.635096,36.322239,139.012354
karuizawa,220,nagano,saku,220,nagano,train,Karuizawa,Sakudaira,11,16.917427508552507,,JPRail 1009,北陸新幹線,True,36.342889,138.635096,36.277929,138.464367
saku,220,nagano,karuizawa,220,nagano,train,Sakudaira,Karuizawa,11,16.917427508552507,,JPRail 1009,北陸新幹線,True,36.277929,138.464367,36.342889,138.635096
saku,220,nagano,ueda,220,nagano,train,Sakudaira,Ueda,15,23.348930890012156,,JPRail 1009,北陸新幹線,True,36.277929,138.464367,36.396579,138.249298
ueda,220,nagano,saku,220,nagano,train,Ueda,Sakudaira,15,23.348930890012156,,JPRail 1009,北陸新幹線,True,36.396579,138.249298,36.277929,138.464367
ueda,220,nagano,nagano,220,nagano,train,Ueda,Nagano,18,27.95730149366878,,JPRail 1009,北陸新幹線,True,36.396579,138.249298,36.643307,138.189101
nagano,220,nagano,ueda,220,nagano,train,Nagano,Ueda,18,27.95730149366878,,JPRail 1009,北陸新幹線,True,36.643307,138.189101,36.396579,138.249298
nagano,220,nagano,iiyama,220,nagano,train,Nagano,Iiyama,18,27.31868682190054,,JPRail 1009,北陸新幹線,True,36.643307,138.189101,36.847642,138.359335
iiyama,220,nagano,nagano,220,nagano,train,Iiyama,Nagano,18,27.31868682190054,,JPRail 1009,北陸新幹線,True,36.847642,138.359335,36.643307,138.189101
iiyama,220,nagano,joetsu,215,niigata,train,Iiyama,Jōetsumyōkō,18,27.80784855777347,,JPRail 1009,北陸新幹線,True,36.847642,138.359335,37.081813,138.249476
joetsu,215,niigata,iiyama,220,nagano,train,Jōetsumyōkō,Iiyama,18,27.80784855777347,,JPRail 1009,北陸新幹線,True,37.081813,138.249476,36.847642,138.359335
joetsu,215,niigata,itoigawa,215,niigata,train,Jōetsumyōkō,Itoigawa,22,34.70289791061852,,JPRail 1009,北陸新幹線,True,37.081813,138.249476,37.043631,137.861311
itoigawa,215,niigata,joetsu,215,niigata,train,Itoigawa,Jōetsumyōkō,22,34.70289791061852,,JPRail 1009,北陸新幹線,True,37.043631,137.861311,37.081813,138.249476
itoigawa,215,niigata,toyama,216,toyama,train,Itoigawa,Toyama,21,69.08709296674063,,JPRail 1009,北陸新幹線,True,37.043631,137.861311,36.701384,137.213091
toyama,216,toyama,itoigawa,215,niigata,train,Toyama,Itoigawa,21,69.08709296674063,,JPRail 1009,北陸新幹線,True,36.701384,137.213091,37.043631,137.861311
toyama,216,toyama,takaoka,216,toyama,train,Toyama,Shin-Takaoka,12,18.285271786327367,,JPRail 1009,北陸新幹線,True,36.701384,137.213091,36.727004,137.010459
takaoka,216,toyama,toyama,216,toyama,train,Shin-Takaoka,Toyama,12,18.285271786327367,,JPRail 1009,北陸新幹線,True,36.727004,137.010459,36.701384,137.213091
takaoka,216,toyama,kanazawa,217,ishikawa,train,Shin-Takaoka,Kanazawa,23,36.31302339646622,,JPRail 1009,北陸新幹線,True,36.727004,137.010459,36.578117,136.648166
kanazawa,217,ishikawa,takaoka,216,toyama,train,Kanazawa,Shin-Takaoka,23,36.31302339646622,,JPRail 1009,北陸新幹線,True,36.578117,136.648166,36.727004,137.010459
kanazawa,217,ishikawa,komatsu,217,ishikawa,train,Kanazawa,Komatsu,17,26.187138588611454,,JPRail 1009,北陸新幹線,True,36.578117,136.648166,36.402545,136.452926
komatsu,217,ishikawa,kanazawa,217,ishikawa,train,Komatsu,Kanazawa,17,26.187138588611454,,JPRail 1009,北陸新幹線,True,36.402545,136.452926,36.578117,136.648166
komatsu,217,ishikawa,kaga,217,ishikawa,train,Komatsu,Kagaonsen,9,12.941816516110187,,JPRail 1009,北陸新幹線,True,36.402545,136.452926,36.320562,136.350337
kaga,217,ishikawa,komatsu,217,ishikawa,train,Kagaonsen,Komatsu,9,12.941816516110187,,JPRail 1009,北陸新幹線,True,36.320562,136.350337,36.402545,136.452926
kaga,217,ishikawa,awara,218,fukui,train,Kagaonsen,Awaraonsen,10,15.67706597187588,,JPRail 1009,北陸新幹線,True,36.320562,136.350337,36.214542,136.235069
awara,218,fukui,kaga,217,ishikawa,train,Awaraonsen,Kagaonsen,10,15.67706597187588,,JPRail 1009,北陸新幹線,True,36.214542,136.235069,36.320562,136.350337
awara,218,fukui,fukui,218,fukui,train,Awaraonsen,Fukui,11,16.98726858900778,,JPRail 1009,北陸新幹線,True,36.214542,136.235069,36.062057,136.223516
fukui,218,fukui,awara,218,fukui,train,Fukui,Awaraonsen,11,16.98726858900778,,JPRail 1009,北陸新幹線,True,36.062057,136.223516,36.214542,136.235069
fukui,218,fukui,tsuruga,218,fukui,train,Fukui,Tsuruga,15,48.25552335572972,,JPRail 1009,北陸新幹線,True,36.062057,136.223516,35.644767,136.076488
tsuruga,218,fukui,fukui,218,fukui,train,Tsuruga,Fukui,15,48.25552335572972,,JPRail 1009,北陸新幹線,True,35.644767,136.076488,36.062057,136.223516
tsuruga,218,fukui,obama,218,fukui,train,Tsuruga,Higashi-Obama,21,32.07467586670241,,JPRail 1009,北陸新幹線,True,35.644767,136.076488,35.485234,135.781053
obama,218,fukui,tsuruga,218,fukui,train,Higashi-Obama,Tsuruga,21,32.07467586670241,,JPRail 1009,北陸新幹線,True,35.485234,135.781053,35.644767,136.076488
obama,218,fukui,kyoto,226,kyoto,train,Higashi-Obama,Kyōto,17,55.61207120789136,,JPRail 1009,北陸新幹線,True,35.485234,135.781053,34.985465,135.757748
kyoto,226,kyoto,obama,218,fukui,train,Kyōto,Higashi-Obama,17,55.61207120789136,,JPRail 1009,北陸新幹線,True,34.985465,135.757748,35.485234,135.781053
kyoto,226,kyoto,kyotanabe,226,kyoto,train,Kyōto,Matsuiyamate,11,17.142919262718355,,JPRail 1009,北陸新幹線,True,34.985465,135.757748,34.833288,135.727617
kyotanabe,226,kyoto,kyoto,226,kyoto,train,Matsuiyamate,Kyōto,11,17.142919262718355,,JPRail 1009,北陸新幹線,True,34.833288,135.727617,34.985465,135.757748
kyotanabe,226,kyoto,osaka,227,osaka,train,Matsuiyamate,Shin‐Ōsaka,15,23.38080855092454,,JPRail 1009,北陸新幹線,True,34.833288,135.727617,34.734136,135.501852
osaka,227,osaka,kyotanabe,226,kyoto,train,Shin‐Ōsaka,Matsuiyamate,15,23.38080855092454,,JPRail 1009,北陸新幹線,True,34.734136,135.501852,34.833288,135.727617
hakodate,201,hokkaido,nanae,201,hokkaido,train,Hakodate,Nanae,17,12.97887158329124,,JPRail 11101,JR函館本線(函館～長万部),True,41.773709,140.726413,41.886971,140.688556
nanae,201,hokkaido,hakodate,201,hokkaido,train,Nanae,Hakodate,17,12.97887158329124,,JPRail 11101,JR函館本線(函館～長万部),True,41.886971,140.688556,41.773709,140.726413
nanae,201,hokkaido,hokuto,201,hokkaido,train,Nanae,Shin-Hakodate-Hokuto,6,4.037529734524106,,JPRail 11101,JR函館本線(函館～長万部),True,41.886971,140.688556,41.9054,140.646525
hokuto,201,hokkaido,nanae,201,hokkaido,train,Shin-Hakodate-Hokuto,Nanae,6,4.037529734524106,,JPRail 11101,JR函館本線(函館～長万部),True,41.9054,140.646525,41.886971,140.688556
hokuto,201,hokkaido,shikabe,201,hokkaido,train,Shin-Hakodate-Hokuto,Shikabe,26,20.47098329559026,,JPRail 11101,JR函館本線(函館～長万部),True,41.9054,140.646525,42.06439,140.771393
shikabe,201,hokkaido,hokuto,201,hokkaido,train,Shikabe,Shin-Hakodate-Hokuto,26,20.47098329559026,,JPRail 11101,JR函館本線(函館～長万部),True,42.06439,140.771393,41.9054,140.646525
shikabe,201,hokkaido,mori,201,hokkaido,train,Shikabe,Mori,22,17.037132845623347,,JPRail 11101,JR函館本線(函館～長万部),True,42.06439,140.771393,42.108917,140.573846
mori,201,hokkaido,shikabe,201,hokkaido,train,Mori,Shikabe,22,17.037132845623347,,JPRail 11101,JR函館本線(函館～長万部),True,42.108917,140.573846,42.06439,140.771393
mori,201,hokkaido,yakumo,201,hokkaido,train,Mori,Yakumo,37,29.515808652219928,,JPRail 11101,JR函館本線(函館～長万部),True,42.108917,140.573846,42.253391,140.273342
yakumo,201,hokkaido,mori,201,hokkaido,train,Yakumo,Mori,37,29.515808652219928,,JPRail 11101,JR函館本線(函館～長万部),True,42.253391,140.273342,42.108917,140.573846
yakumo,201,hokkaido,oshamanbe,201,hokkaido,train,Yakumo,Oshamambe,38,29.996228985876193,,JPRail 11101,JR函館本線(函館～長万部),True,42.253391,140.273342,42.512477,140.37507
oshamanbe,201,hokkaido,yakumo,201,hokkaido,train,Oshamambe,Yakumo,38,29.996228985876193,,JPRail 11101,JR函館本線(函館～長万部),True,42.512477,140.37507,42.253391,140.273342
aomori,202,aomori,kikonai,201,hokkaido,train,Shin-Aomori,Kikonai,30,96.98796426299123,,JPRail 1011,北海道新幹線,True,40.8275,140.693472,41.677642,140.434004
kikonai,201,hokkaido,aomori,202,aomori,train,Kikonai,Shin-Aomori,30,96.98796426299123,,JPRail 1011,北海道新幹線,True,41.677642,140.434004,40.8275,140.693472
kikonai,201,hokkaido,hokuto,201,hokkaido,train,Kikonai,Shin-Hakodate-Hokuto,20,30.851346144391968,,JPRail 1011,北海道新幹線,True,41.677642,140.434004,41.9054,140.646525
hokuto,201,hokkaido,kikonai,201,hokkaido,train,Shin-Hakodate-Hokuto,Kikonai,20,30.851346144391968,,JPRail 1011,北海道新幹線,True,41.9054,140.646525,41.677642,140.434004
oshamanbe,201,hokkaido,kuromatsunai,201,hokkaido,train,Oshamambe,Kuromatsunai,23,18.371754095971475,,JPRail 11102,JR函館本線(長万部～小樽),True,42.512477,140.37507,42.669608,140.305704
kuromatsunai,201,hokkaido,oshamanbe,201,hokkaido,train,Kuromatsunai,Oshamambe,23,18.371754095971475,,JPRail 11102,JR函館本線(長万部～小樽),True,42.669608,140.305704,42.512477,140.37507
kuromatsunai,201,hokkaido,rankoshi,201,hokkaido,train,Kuromatsunai,Rankoshi,30,23.611703911886746,,JPRail 11102,JR函館本線(長万部～小樽),True,42.669608,140.305704,42.804542,140.52894
rankoshi,201,hokkaido,kuromatsunai,201,hokkaido,train,Rankoshi,Kuromatsunai,30,23.611703911886746,,JPRail 11102,JR函館本線(長万部～小樽),True,42.804542,140.52894,42.669608,140.305704
rankoshi,201,hokkaido,niseko,201,hokkaido,train,Rankoshi,Niseko,16,12.706095878879022,,JPRail 11102,JR函館本線(長万部～小樽),True,42.804542,140.52894,42.808746,140.684588
niseko,201,hokkaido,rankoshi,201,hokkaido,train,Niseko,Rankoshi,16,12.706095878879022,,JPRail 11102,JR函館本線(長万部～小樽),True,42.808746,140.684588,42.804542,140.52894
niseko,201,hokkaido,kucchan,201,hokkaido,train,Niseko,Kutchan,15,11.459710365791729,,JPRail 11102,JR函館本線(長万部～小樽),True,42.808746,140.684588,42.90164,140.745471
kucchan,201,hokkaido,niseko,201,hokkaido,train,Kutchan,Niseko,15,11.459710365791729,,JPRail 11102,JR函館本線(長万部～小樽),True,42.90164,140.745471,42.808746,140.684588
kucchan,201,hokkaido,kyowa,201,hokkaido,train,Kutchan,Kozawa,12,9.561646718931783,,JPRail 11102,JR函館本線(長万部～小樽),True,42.90164,140.745471,42.97185,140.677657
kyowa,201,hokkaido,kucchan,201,hokkaido,train,Kozawa,Kutchan,12,9.561646718931783,,JPRail 11102,JR函館本線(長万部～小樽),True,42.97185,140.677657,42.90164,140.745471
kyowa,201,hokkaido,niki,201,hokkaido,train,Kozawa,Niki,28,21.62374902257886,,JPRail 11102,JR函館本線(長万部～小樽),True,42.97185,140.677657,43.154091,140.770546
niki,201,hokkaido,kyowa,201,hokkaido,train,Niki,Kozawa,28,21.62374902257886,,JPRail 11102,JR函館本線(長万部～小樽),True,43.154091,140.770546,42.97185,140.677657
niki,201,hokkaido,yoichi,201,hokkaido,train,Niki,Yoichi,6,4.106801131123409,,JPRail 11102,JR函館本線(長万部～小樽),True,43.154091,140.770546,43.186558,140.794686
yoichi,201,hokkaido,niki,201,hokkaido,train,Yoichi,Niki,6,4.106801131123409,,JPRail 11102,JR函館本線(長万部～小樽),True,43.186558,140.794686,43.154091,140.770546
yoichi,201,hokkaido,otaru,201,hokkaido,train,Yoichi,Otaru,21,16.173057033108048,,JPRail 11102,JR函館本線(長万部～小樽),True,43.186558,140.794686,43.197172,140.993653
otaru,201,hokkaido,yoichi,201,hokkaido,train,Otaru,Yoichi,21,16.173057033108048,,JPRail 11102,JR函館本線(長万部～小樽),True,43.197172,140.993653,43.186558,140.794686
oshamanbe,201,hokkaido,toyoura,201,hokkaido,train,Oshamambe,Toyoura,37,28.87952622031925,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.512477,140.37507,42.580323,140.71536
toyoura,201,hokkaido,oshamanbe,201,hokkaido,train,Toyoura,Oshamambe,37,28.87952622031925,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.580323,140.71536,42.512477,140.37507
toyoura,201,hokkaido,toyako,201,hokkaido,train,Toyoura,Tōya,7,5.176957195636829,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.580323,140.71536,42.55055,140.763959
toyako,201,hokkaido,toyoura,201,hokkaido,train,Tōya,Toyoura,7,5.176957195636829,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.55055,140.763959,42.580323,140.71536
toyako,201,hokkaido,date,201,hokkaido,train,Tōya,Datemombetsu,15,11.75190026434163,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.55055,140.763959,42.469395,140.855802
date,201,hokkaido,toyako,201,hokkaido,train,Datemombetsu,Tōya,15,11.75190026434163,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.469395,140.855802,42.55055,140.763959
date,201,hokkaido,date,201,hokkaido,train,Datemombetsu,Mareppu,8,6.018152400343546,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.469395,140.855802,42.425567,140.898836
date,201,hokkaido,date,201,hokkaido,train,Mareppu,Datemombetsu,8,6.018152400343546,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.425567,140.898836,42.469395,140.855802
date,201,hokkaido,date,201,hokkaido,train,Mareppu,Kogane,6,4.412166385714428,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.425567,140.898836,42.386441,140.907781
date,201,hokkaido,date,201,hokkaido,train,Kogane,Mareppu,6,4.412166385714428,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.386441,140.907781,42.425567,140.898836
date,201,hokkaido,muroran,201,hokkaido,train,Kogane,Muroran,12,9.450208634017219,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.386441,140.907781,42.317864,140.97571
muroran,201,hokkaido,date,201,hokkaido,train,Muroran,Kogane,12,9.450208634017219,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.317864,140.97571,42.386441,140.907781
muroran,201,hokkaido,noboribetsu,201,hokkaido,train,Muroran,Noboribetsu,29,22.512115709498627,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.317864,140.97571,42.45207,141.180931
noboribetsu,201,hokkaido,muroran,201,hokkaido,train,Noboribetsu,Muroran,29,22.512115709498627,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.45207,141.180931,42.317864,140.97571
noboribetsu,201,hokkaido,shiraoi,201,hokkaido,train,Noboribetsu,Shiraoi,24,18.59980016216194,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.45207,141.180931,42.55474,141.360054
shiraoi,201,hokkaido,noboribetsu,201,hokkaido,train,Shiraoi,Noboribetsu,24,18.59980016216194,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.55474,141.360054,42.45207,141.180931
shiraoi,201,hokkaido,tomakomai,201,hokkaido,train,Shiraoi,Tomakomai,27,21.55971489355244,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.55474,141.360054,42.639665,141.596837
tomakomai,201,hokkaido,shiraoi,201,hokkaido,train,Tomakomai,Shiraoi,27,21.55971489355244,,JPRail 11104,JR室蘭本線(長万部・室蘭～苫小牧),True,42.639665,141.596837,42.55474,141.360054
otaru,201,hokkaido,sapporo,201,hokkaido,train,Otaru,Sapporo,41,32.31278791190811,,JPRail 11103,JR函館本線(小樽～旭川),True,43.197172,140.993653,43.068612,141.350768
sapporo,201,hokkaido,otaru,201,hokkaido,train,Sapporo,Otaru,41,32.31278791190811,,JPRail 11103,JR函館本線(小樽～旭川),True,43.068612,141.350768,43.197172,140.993653
sapporo,201,hokkaido,ebetsu,201,hokkaido,train,Sapporo,Ebetsu,22,17.356918635641385,,JPRail 11103,JR函館本線(小樽～旭川),True,43.068612,141.350768,43.110189,141.55679
ebetsu,201,hokkaido,sapporo,201,hokkaido,train,Ebetsu,Sapporo,22,17.356918635641385,,JPRail 11103,JR函館本線(小樽～旭川),True,43.110189,141.55679,43.068612,141.350768
ebetsu,201,hokkaido,iwamizawa,201,hokkaido,train,Ebetsu,Iwamizawa,25,19.47473708354188,,JPRail 11103,JR函館本線(小樽～旭川),True,43.110189,141.55679,43.204201,141.759359
iwamizawa,201,hokkaido,ebetsu,201,hokkaido,train,Iwamizawa,Ebetsu,25,19.47473708354188,,JPRail 11103,JR函館本線(小樽～旭川),True,43.204201,141.759359,43.110189,141.55679
iwamizawa,201,hokkaido,bibai,201,hokkaido,train,Iwamizawa,Bibai,21,16.349040262972178,,JPRail 11103,JR函館本線(小樽～旭川),True,43.204201,141.759359,43.330751,141.862157
bibai,201,hokkaido,iwamizawa,201,hokkaido,train,Bibai,Iwamizawa,21,16.349040262972178,,JPRail 11103,JR函館本線(小樽～旭川),True,43.330751,141.862157,43.204201,141.759359
bibai,201,hokkaido,naie,201,hokkaido,train,Bibai,Naie,14,10.56457236554826,,JPRail 11103,JR函館本線(小樽～旭川),True,43.330751,141.862157,43.423718,141.889115
naie,201,hokkaido,bibai,201,hokkaido,train,Naie,Bibai,14,10.56457236554826,,JPRail 11103,JR函館本線(小樽～旭川),True,43.423718,141.889115,43.330751,141.862157
naie,201,hokkaido,sunagawa,201,hokkaido,train,Naie,Sunagawa,10,7.930834557417554,,JPRail 11103,JR函館本線(小樽～旭川),True,43.423718,141.889115,43.493468,141.909642
sunagawa,201,hokkaido,naie,201,hokkaido,train,Sunagawa,Naie,10,7.930834557417554,,JPRail 11103,JR函館本線(小樽～旭川),True,43.493468,141.909642,43.423718,141.889115
sunagawa,201,hokkaido,takikawa,201,hokkaido,train,Sunagawa,Takikawa,9,6.9097731131291065,,JPRail 11103,JR函館本線(小樽～旭川),True,43.493468,141.909642,43.555278,141.900807
takikawa,201,hokkaido,sunagawa,201,hokkaido,train,Takikawa,Sunagawa,9,6.9097731131291065,,JPRail 11103,JR函館本線(小樽～旭川),True,43.555278,141.900807,43.493468,141.909642
takikawa,201,hokkaido,moseushi,201,hokkaido,train,Takikawa,Moseushi,20,15.976915698738102,,JPRail 11103,JR函館本線(小樽～旭川),True,43.555278,141.900807,43.690841,141.966591
moseushi,201,hokkaido,takikawa,201,hokkaido,train,Moseushi,Takikawa,20,15.976915698738102,,JPRail 11103,JR函館本線(小樽～旭川),True,43.690841,141.966591,43.555278,141.900807
moseushi,201,hokkaido,fukagawa,201,hokkaido,train,Moseushi,Fukagawa,9,6.903344956542832,,JPRail 11103,JR函館本線(小樽～旭川),True,43.690841,141.966591,43.721021,142.041642
fukagawa,201,hokkaido,moseushi,201,hokkaido,train,Fukagawa,Moseushi,9,6.903344956542832,,JPRail 11103,JR函館本線(小樽～旭川),True,43.721021,142.041642,43.690841,141.966591
fukagawa,201,hokkaido,asahikawa,201,hokkaido,train,Fukagawa,Asahikawa,33,25.833658497244965,,JPRail 11103,JR函館本線(小樽～旭川),True,43.721021,142.041642,43.763492,142.357803
asahikawa,201,hokkaido,fukagawa,201,hokkaido,train,Asahikawa,Fukagawa,33,25.833658497244965,,JPRail 11103,JR函館本線(小樽～旭川),True,43.763492,142.357803,43.721021,142.041642
tomakomai,201,hokkaido,chitose,201,hokkaido,train,Tomakomai,Chitose,27,21.43187867152046,,JPRail 11109,千歳線,True,42.639665,141.596837,42.82811,141.651934
chitose,201,hokkaido,tomakomai,201,hokkaido,train,Chitose,Tomakomai,27,21.43187867152046,,JPRail 11109,千歳線,True,42.82811,141.651934,42.639665,141.596837
chitose,201,hokkaido,eniwa,201,hokkaido,train,Chitose,Eniwa,11,8.12629358692135,,JPRail 11109,千歳線,True,42.82811,141.651934,42.883076,141.586234
eniwa,201,hokkaido,chitose,201,hokkaido,train,Eniwa,Chitose,11,8.12629358692135,,JPRail 11109,千歳線,True,42.883076,141.586234,42.82811,141.651934
eniwa,201,hokkaido,kitahiroshima,201,hokkaido,train,Eniwa,Kita-Hiroshima,14,10.857231727109527,,JPRail 11109,千歳線,True,42.883076,141.586234,42.979239,141.563115
kitahiroshima,201,hokkaido,eniwa,201,hokkaido,train,Kita-Hiroshima,Eniwa,14,10.857231727109527,,JPRail 11109,千歳線,True,42.979239,141.563115,42.883076,141.586234
kitahiroshima,201,hokkaido,sapporo,201,hokkaido,train,Kita-Hiroshima,Sapporo,25,19.918188717003098,,JPRail 11109,千歳線,True,42.979239,141.563115,43.068612,141.350768
sapporo,201,hokkaido,kitahiroshima,201,hokkaido,train,Sapporo,Kita-Hiroshima,25,19.918188717003098,,JPRail 11109,千歳線,True,43.068612,141.350768,42.979239,141.563115
sapporo,201,hokkaido,tobetsu,201,hokkaido,train,Sapporo,Tōbetsu,27,21.588898268859776,,JPRail 11112,札沼線,True,43.068612,141.350768,43.22208,141.513764
tobetsu,201,hokkaido,sapporo,201,hokkaido,train,Tōbetsu,Sapporo,27,21.588898268859776,,JPRail 11112,札沼線,True,43.22208,141.513764,43.068612,141.350768
tobetsu,201,hokkaido,tsukigata,201,hokkaido,train,Tōbetsu,Ishikari-Tsukigata,23,18.29801428527696,,JPRail 11112,札沼線,True,43.22208,141.513764,43.340869,141.670193
tsukigata,201,hokkaido,tobetsu,201,hokkaido,train,Ishikari-Tsukigata,Tōbetsu,23,18.29801428527696,,JPRail 11112,札沼線,True,43.340869,141.670193,43.22208,141.513764
tsukigata,201,hokkaido,urausu,201,hokkaido,train,Ishikari-Tsukigata,Urausu,20,15.550783459920567,,JPRail 11112,札沼線,True,43.340869,141.670193,43.430964,141.817376
urausu,201,hokkaido,tsukigata,201,hokkaido,train,Urausu,Ishikari-Tsukigata,20,15.550783459920567,,JPRail 11112,札沼線,True,43.430964,141.817376,43.340869,141.670193
urausu,201,hokkaido,shintotsukawa,201,hokkaido,train,Urausu,Shin-Totsukawa,17,13.542813425798187,,JPRail 11112,札沼線,True,43.430964,141.817376,43.545575,141.874172
shintotsukawa,201,hokkaido,urausu,201,hokkaido,train,Shin-Totsukawa,Urausu,17,13.542813425798187,,JPRail 11112,札沼線,True,43.545575,141.874172,43.430964,141.817376
tomakomai,201,hokkaido,abira,201,hokkaido,train,Tomakomai,Abira,34,26.907599385330464,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True,42.639665,141.596837,42.814007,141.825283
abira,201,hokkaido,tomakomai,201,hokkaido,train,Abira,Tomakomai,34,26.907599385330464,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True,42.814007,141.825283,42.639665,141.596837
abira,201,hokkaido,yuni,201,hokkaido,train,Abira,Yuni,28,22.271249207161564,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True,42.814007,141.825283,43.012206,141.785868
yuni,201,hokkaido,abira,201,hokkaido,train,Yuni,Abira,28,22.271249207161564,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True,43.012206,141.785868,42.814007,141.825283
yuni,201,hokkaido,kuriyama,201,hokkaido,train,Yuni,Kuriyama,7,5.177952007107552,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True,43.012206,141.785868,43.058164,141.775603
kuriyama,201,hokkaido,yuni,201,hokkaido,train,Kuriyama,Yuni,7,5.177952007107552,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True,43.058164,141.775603,43.012206,141.785868
